From,To,n_played,Region
Alocs (Leonardo Belo),Leko (Whesley Holler),17,CBLOL/Brazil
Alocs (Leonardo Belo),Revolta (Gabriel Henud),21,CBLOL/Brazil
Alocs (Leonardo Belo),manajj (André Rocha),17,CBLOL/Brazil
Alocs (Leonardo Belo),takeshi (Murilo Alves),39,CBLOL/Brazil
Leko (Whesley Holler),Revolta (Gabriel Henud),37,CBLOL/Brazil
Leko (Whesley Holler),manajj (André Rocha),17,CBLOL/Brazil
Leko (Whesley Holler),takeshi (Murilo Alves),37,CBLOL/Brazil
Revolta (Gabriel Henud),manajj (André Rocha),17,CBLOL/Brazil
Revolta (Gabriel Henud),takeshi (Murilo Alves),84,CBLOL/Brazil
manajj (André Rocha),takeshi (Murilo Alves),17,CBLOL/Brazil
Danagorn (Daniel Drummond),Espeon (Martin Gonçalves),39,CBLOL/Brazil
Danagorn (Daniel Drummond),LEP (Pedro Luiz Marcari),15,CBLOL/Brazil
Danagorn (Daniel Drummond),TinOwns (Thiago Sartori),15,CBLOL/Brazil
Danagorn (Daniel Drummond),bit1 (Bruno Lima),4,CBLOL/Brazil
Danagorn (Daniel Drummond),dans (Daniel Dias),15,CBLOL/Brazil
Espeon (Martin Gonçalves),LEP (Pedro Luiz Marcari),2,CBLOL/Brazil
Espeon (Martin Gonçalves),TinOwns (Thiago Sartori),2,CBLOL/Brazil
Espeon (Martin Gonçalves),dans (Daniel Dias),2,CBLOL/Brazil
LEP (Pedro Luiz Marcari),TinOwns (Thiago Sartori),125,CBLOL/Brazil
LEP (Pedro Luiz Marcari),bit1 (Bruno Lima),4,CBLOL/Brazil
LEP (Pedro Luiz Marcari),dans (Daniel Dias),35,CBLOL/Brazil
TinOwns (Thiago Sartori),bit1 (Bruno Lima),4,CBLOL/Brazil
TinOwns (Thiago Sartori),dans (Daniel Dias),35,CBLOL/Brazil
bit1 (Bruno Lima),dans (Daniel Dias),4,CBLOL/Brazil
Loop (Caio Almeida),Mylon (Matheus Borges),65,CBLOL/Brazil
Loop (Caio Almeida),SuNo (An Sun-ho (안순호)),12,CBLOL/Brazil
Loop (Caio Almeida),Winged (Park Tae-jin (박태진)),12,CBLOL/Brazil
Loop (Caio Almeida),brTT (Felipe Gonçalves),12,CBLOL/Brazil
Mylon (Matheus Borges),SuNo (An Sun-ho (안순호)),12,CBLOL/Brazil
Mylon (Matheus Borges),Winged (Park Tae-jin (박태진)),12,CBLOL/Brazil
Mylon (Matheus Borges),brTT (Felipe Gonçalves),57,CBLOL/Brazil
SuNo (An Sun-ho (안순호)),Winged (Park Tae-jin (박태진)),12,CBLOL/Brazil
SuNo (An Sun-ho (안순호)),brTT (Felipe Gonçalves),12,CBLOL/Brazil
Winged (Park Tae-jin (박태진)),brTT (Felipe Gonçalves),12,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),Minerva (Gustavo Alves),18,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),SirT (Thúlio Carlos),118,CBLOL/Brazil
Kami (Gabriel Bohm Santos) (Gabriel Santos),Venon (Fabio Guimarães),8,CBLOL/Brazil
